timestamp,game_num,winner,score_diff,total_moves,loss
2025-09-01 11:57:49,20,B,20.5,428,6.8945
2025-09-01 12:20:09,21,B,34.5,453,6.8689
2025-09-01 12:27:12,22,W,-90.5,643,6.8910
2025-09-01 12:32:00,23,W,-62.5,458,6.7855
2025-09-01 12:48:57,24,W,-38.5,1262,6.8889
2025-09-01 12:56:20,25,W,-52.5,665,6.8470
2025-09-01 13:03:29,26,W,-54.5,630,6.8524
2025-09-01 13:16:50,27,B,14.5,1038,6.8513
2025-09-01 13:27:25,28,W,-55.5,854,6.8545
2025-09-01 13:37:02,29,W,-25.5,789,6.7446
2025-09-01 13:42:12,30,W,-110.5,489,6.8868
2025-09-01 13:48:13,31,W,-107.5,553,6.8170
2025-09-01 13:53:33,32,W,-74.5,515,6.8102
2025-09-01 14:02:11,33,W,-5.5,770,6.8109
2025-09-01 14:08:45,34,W,-112.5,588,6.8881
2025-09-01 14:13:41,35,W,-24.5,475,6.8403
2025-09-01 14:19:14,36,W,-50.5,524,6.8091
2025-09-01 14:25:20,37,B,2.5,563,6.8483
2025-09-01 14:35:11,38,B,30.5,802,6.8439
2025-09-01 14:40:10,39,W,-18.5,477,6.8073
2025-09-01 14:52:35,40,W,-1.5,900,6.8852
2025-09-01 15:28:50,1,W,-8.5,598,6.8103
2025-09-01 17:49:39,1,W,-84.5,844,6.8397
2025-09-01 17:54:37,2,B,5.5,473,6.8789
2025-09-01 18:00:08,3,B,8.5,546,6.8439
2025-09-01 18:10:31,4,W,-101.5,902,6.8148
2025-09-01 18:16:49,5,B,11.5,603,6.8134
2025-09-01 18:38:02,6,B,5.5,1372,6.8165
2025-09-01 18:44:07,7,B,21.5,569,6.8564
2025-09-01 18:53:27,8,B,47.5,779,6.8958
2025-09-01 19:03:05,9,W,-66.5,824,6.7807
2025-09-01 19:12:51,10,W,-22.5,825,6.8848
2025-09-01 19:27:09,11,W,-20.5,1133,6.7869
2025-09-01 19:35:45,12,B,4.5,732,6.7519
2025-09-01 19:46:42,13,B,26.5,932,6.8206
2025-09-01 20:02:21,14,W,-18.5,1186,6.8604
2025-09-01 20:12:18,15,W,-148.5,832,6.8208
2025-09-01 20:20:10,16,B,34.5,697,6.8558
2025-09-01 20:37:53,17,B,13.5,1394,6.8936
2025-09-01 20:50:37,18,W,-61.5,814,6.8563
2025-09-01 21:59:28,19,W,-19.5,2889,6.9096
2025-09-01 22:33:12,20,W,-169.5,1870,6.8290
2025-09-01 23:05:10,21,W,-18.5,752,6.8612
2025-09-01 23:23:53,22,W,-1.5,1100,6.7938
2025-09-01 23:53:08,23,B,55.5,1643,6.7521
2025-09-02 00:06:54,24,W,-50.5,811,6.8591
2025-09-02 00:19:13,25,B,60.5,734,6.8950
2025-09-02 00:26:52,26,W,-44.5,454,6.8882
2025-09-02 00:40:46,27,W,-125.5,825,6.8501
2025-09-02 00:57:00,28,W,-17.5,962,6.8508
2025-09-02 01:10:50,29,B,60.5,801,6.8468
2025-09-02 01:21:49,30,B,15.5,651,6.8836
2025-09-02 01:32:46,31,W,-22.5,646,6.8425
2025-09-02 02:04:53,32,B,86.5,1700,6.8412
2025-09-02 02:17:25,33,W,-90.5,747,6.8386
2025-09-02 02:30:52,34,W,-22.5,795,6.7961
2025-09-02 02:44:08,35,W,-0.5,786,6.8329
2025-09-02 02:56:07,36,W,-71.5,712,6.8004
2025-09-02 03:41:48,1,W,-130.5,991,6.8733
2025-09-02 03:49:05,2,W,-21.5,656,6.8689
2025-09-02 03:57:57,3,B,75.5,739,6.8621
2025-09-02 04:05:22,4,W,-82.5,666,6.8275
